ir_led	red_led spo2	bpm
13922	14286	62
13887	14134	62
1079	13887	62
13848	14134	62
1589	62007	62
13904	14217	62
13821	14210	62
13867	13855	62
13874	14245	62
13844	14243	62
13894	14201	62
13877	50743	62
11830	16183	62
30262	13856	62
14248	13764	62
13894	14223	62
13878	16182	62
16183	38965	62
55607	37686	62
13835	14247	62
13884	14162	62
13871	14133	62
64823	33333	62
13922	14234	62
13883	14217	62
13869	14223	62
13832	14134	62
20535	24886	62
13825	14196	62
13920	14268	62
13880	14253	62
13878	14226	62
13812	14221	62
13862	14197	62
13861	14233	62
13895	14278	62
13832	14194	62
13805	14133	62
13866	14228	62
13917	14165	62
13973	14253	62
13981	14199	62
13622	11063	62
29493	59191	62
49462	13878	62
13819	14239	62
13840	13878	62
14226	13877	62
13829	14234	62
